"Name-Surname","Nation","Age","Height","Position","Leg","League","xG","xA","Touches","Accurate pass per game","Tackles","Aerial duels won","Possession lost","Fouls per game","Yellow Card"
"Lucas Ocampos","Argentina","29","187","MID","L","ESP","5.13","3.74","53.80","20.50","4.60","1.90","18.40","1.00","8"
"Loic Bade","France","24","191","DEF","R","ESP","0.95","0.44","60.00","39.20","5.40","2.90","9.20","0.90","5"
"Dodi Lukebaiko","Belgium","26","187","ATT","L","ESP","5.89","0.98","24.90","11.30","1.40","0.60","7.40","1.00","0"
"Gerard Moreno","Spain","32","180","ATT","L","ESP","9.68","4.31","47.00","25.01","2.90","0.90","12.30","0.80","0"
"Pepelu","Spain","25","185","MID","R","ESP","6.46","4.45","69.50","43.70","6.80","1.70","14.10","1.40","4"
"Hugo Duro","Spain","24","180","ATT","L","ESP","11.49","0.58","29.20","11.10","2.30","1.70","8.90","1.10","4"
"Jose Luis Gaya","Spain","28","172","DEF","L","ESP","0.48","2.46","55.90","27.20","4.80","0.50","12.50","1.00","2"
"Andre Almeida","Portugal","23","176","MID","R","ESP","0.38","0.74","30.20","15.40","2.40","0.30","7.90","0.70","0"
"Thierry Coreida","Portugal","25","176","DEF","R","ESP","0.62","1.66","56.10","26.50","5.10","0.60","12.50","1.20","3"
"Luis Rioja","Spain","30","173","MID","L","ESP","6.16","4.20","32.70","13.30","3.50","0.30","11.00","0.60","4"
"Kike Garcia","Spain","34","186","ATT","R","ESP","7.67","1.42","17.80","6.00","1.60","1.50","5.90","0.80","3"
"Mamadou Sylla","Senegal","30","184","ATT","R","ESP","0.27","1.16","26.20","9.00","1.40","2.10","9.30","1.00","5"
"Juanma Herzog","Spain","20","186","DEF","R","ESP","0.69","0.01","64.80","48.80","3.30","1.00","6.50","0.30","1"
"Kirian Rodriguez","Spain","28","180","MID","R","ESP","1.91","2.74","94.60","73.30","6.10","0.60","12.40","0.50","7"
"Munir El Haddadi","Morocco","28","175","ATT","L","ESP","4.32","2.75","31.90","15.40","2.30","0.60","8.40","0.80","3"
"Maximo Perrone","Argentina","21","178","MID","L","ESP","0.24","1.15","55.10","42.00","4.00","0.20","6.40","1.00","6"
"Mika Marmol","Spain","22","181","DEF","L","ESP","0.86","1.07","85.00","64.00","5.20","0.90","9.30","0.60","4"
"Mason Greenwood","England","22","181","MID","L","ESP","8.40","4.26","45.40","22.50","3.80","0.20","13.30","1.20","6"
"Borja Mayoral","Spain","27","182","ATT","R","ESP","11.86","1.32","31.40","15.30","2.60","1.90","9.50","1.10","2"
"Enes Ünal","Turkey","27","185","ATT","R","ESP","2.22","0.08","9.40","3.10","0.70","0.30","3.00","0.70","1"
"Hakan Çalhanoğlu","Turkey","30","178","MID","R","ITA","10.07","5.70","82.0","61.20","5.3","0.8","9.8","1.4","5"
"Lautaro Martinez","Argentina","26","175","ATT","R","ITA","17.39","1.77","39.3","18.30","2.28","1.1","10.2","1.4","5"
"Alessandro Bastoni","Italy","25","195","DEF","L","ITA","1.16","3.09","79.0","57.50","4.1","1.4","10.7","1.1","5"
"Rafael Leao","Portugal","24","188","ATT","R","ITA","8.54","8.02","45.7","21.50","2.4","0.8","13.4","0.8","5"
"Tijani Reijnders","Netherlands","25","185","MID","R","ITA","3.17","3.90","58.1","42.30","3.8","0.2","7.5","0.6","8"
"Theo Hernandez","France","26","184","DEF","L","ITA","4.75","4.15","74.7","48.50","5.4","0.9","11.5","1.2","11"
"Lewis Ferguson","Scotland","24","181","MID","R","ITA","5.30","2.67","69.5","50.10","4.6","1.3","8.6","1.7","8"
"Joshua Zirkzee","Netherlands","22","193","ATT","R","ITA","9.01","2.54","44.8","20.60","3.0","0.9","13.7","0.9","8"
"Sam Beukema","Netherlands","25","188","DEF","R","ITA","1.57","0.69","78.0","61.40","5.1","1.6","7.8","1.0","4"
"Bremer","Brazil","27","188","DEF","R","ITA","1.61","0.83","65.7","46.00","5.4","2.9","8.4","1.7","8"
"Manuel Locatelli","Italy","26","185","MID","R","ITA","1.25","2.42","65.9","2.42","4.7","0.7","9.2","1.1","6"
"Dusan Vlahovic ","Serbia","24","190","ATT","L","ITA","16.67","1.56","29.0","11.80","1.9","1.2","9.2","1.0","6"
"Davide Zappacosta","Italy","31","182","DEF","R","ITA","2.10","1.66","41.9","22.40","3.1","0.3","7.8","0.8","5"
"Marten de Roon","Netherlands","33","185","MID","R","ITA","0.60","1.20","67.9","47.7","5.5","1.2","9.9","1.4","10"
"Gianluca Scamacca","Italy","25","195","ATT","R","ITA","5.83","1.34","25.7","10.1","1.1","0.8","9.3","1.0","1"
"Leandro Paredes","Argentina","29","180","MID","R","ITA","3.28","2.31","70.7","54.1","5.5","0.4","8.1","0.9","14"
"Paulo Dybala","Argentina","30","177","ATT","L","ITA","10.22","3.67","50.1","27.4","3.0","0.2","13.3","0.5","3"
"Gianluca Mancini","Italy","28","190","DEF","R","ITA","1.91","1.13","65.8","49.7","3.0","1.2","8.0","1.4","9"
"Alessio Romagnoli","Italy","29","185","DEF","L","ITA","0.54","0.54","68.4","54.0","4.2","2.6","5.6","1.1","9"
"Luis Alberto","Spain","31","182","MID","R","ITA","4.74","4.78","61.8","39.2","4.4","0.3","14.1","0.5","7"
